sub,Gender,race,ses,sctyp,hsp,locus,concpt,mot,car,rdg,wrtg,math,sci,civ
553,Male,White,Medium,Private,College Prep,.71,.28,.67,16,62.7,56.7,54.7,58,40.6
554,Female,White,Low,Private,College Prep,-.14,-.6,.33,15,44.2,48.9,54.3,49.8,45.6
555,Male,White,High,Private,College Prep,.06,1.19,1,11,65.4,64.5,67.9,63.4,55.6
556,Female,White,Medium,Private,College Prep,.87,.87,.67,10,57.4,61.9,62.8,55.3,40.6
557,Female,White,Medium,Private,College Prep,1.16,1.19,1,16,60.1,59.3,55.3,58,45.6
558,Female,White,Medium,Private,Technical/Vocational,.46,.56,.67,9,44.2,54.1,52.2,44.4,45.6
559,Female,White,Medium,Private,Standard,.27,.03,.67,4,57.4,41.1,57,55.3,51.8
560,Female,White,Low,Private,College Prep,-.19,-1.73,1,1,44.7,47.6,50.3,39,50.6
561,Female,White,High,Private,College Prep,.68,.03,1,6,44.2,48.9,46.2,47.7,45.6
562,Female,White,High,Private,College Prep,.23,.03,1,1,62.7,61.9,55.5,55.3,60.5
563,Female,White,High,Private,College Prep,.91,.03,1,9,57.4,59.3,55.5,55.3,50.6
564,Male,White,High,Private,College Prep,.32,-.88,.33,9,57.4,54.1,42.2,44.4,55.6
565,Male,White,Medium,Private,College Prep,.71,.03,.33,5,46.9,59.3,63,52.6,45.6
566,Male,White,High,Private,College Prep,1.11,.34,1,10,65.4,64.5,64.1,66.1,70.5
567,Female,White,Medium,Private,College Prep,.26,-.57,1,10,41.6,58.6,54.6,55.3,60.5
568,Female,White,Medium,Private,College Prep,0,.34,.33,9,46.9,59.3,53.7,58,45.6
569,Male,White,Low,Private,College Prep,.2,-.47,.67,2,56.4,49.5,51.9,47.1,48.1
570,Female,White,Medium,Private,College Prep,-.84,-2.6,.33,15,44.2,64.5,53,55.3,60.5
571,Female,White,High,Private,College Prep,1.16,.09,1,9,46.9,52.1,42.5,47.7,60.5
572,Male,White,Medium,Private,Technical/Vocational,.23,.15,.33,2,49.5,51.5,48,52.6,50.6
573,Female,White,Low,Private,Standard,-.23,.69,.67,15,46.9,61.9,48,39,50.6
574,Male,White,High,Private,College Prep,.03,.56,.67,2,65.4,67.1,63,66.1,70.5
575,Female,White,Medium,Private,Standard,.68,.03,0,10,44.2,35.9,43.6,47.1,40.6
576,Female,White,Medium,Private,Technical/Vocational,.43,-1.09,.67,14,63.3,64.5,52.1,58,65.5
577,Female,White,Medium,Private,College Prep,.47,.34,.67,16,44.2,48.9,48,39,50.6
578,Female,White,Medium,Private,Technical/Vocational,-.59,.28,1,14,46.9,51.5,48.5,49.8,50.6
579,Female,White,Low,Private,Technical/Vocational,-.38,.03,1,9,45.3,38.5,43.5,40.1,45.6
580,Female,White,High,Private,College Prep,.73,.03,1,9,62.7,62.5,68.9,60.7,60.5
581,Male,White,Medium,Private,Technical/Vocational,-.66,-.47,1,9,52.7,41.1,40.2,58,60.5
582,Male,White,High,Private,College Prep,.1,-.16,.33,9,49.5,59.3,51,47.1,45.6
583,Male,White,Medium,Private,Standard,-1.33,.03,.67,16,57.4,56.7,59.8,58,55.6
584,Male,White,High,Private,College Prep,.22,1.19,1,11,57.4,54.1,48.8,55.3,40.6
585,Male,White,High,Private,College Prep,.1,.56,.67,9,54.8,61.9,60.4,55.3,65.5
586,Male,White,High,Private,College Prep,.71,-.06,.67,9,44.2,37.8,49.2,39,45.6
587,Male,White,High,Private,College Prep,.68,-.53,1,11,48.4,48.2,60.5,60.1,49.3
588,Male,White,Medium,Private,Standard,-.93,-.8,.33,9,52.1,51.5,49.5,55.3,45.6
589,Male,White,High,Private,College Prep,-.6,.34,0,2,49.5,41.7,50.3,36.3,60.5
590,Male,White,Medium,Private,College Prep,.06,.03,.67,16,46.9,56.7,56.1,60.7,55.6
591,Female,White,High,Private,College Prep,1.14,.63,1,15,55.3,53.4,44.5,53.6,48.1
592,Female,White,High,Private,College Prep,.06,.03,.67,14,46.9,60.6,51.3,63.4,30.6
593,Male,White,Medium,Private,College Prep,-1.09,-.26,.33,11,44.2,41.1,45.1,47.1,45.6
594,Male,White,High,Private,College Prep,.02,.28,.67,9,44.2,51.5,52.9,52.6,45.6
595,Male,White,High,Private,College Prep,0,.03,.33,10,52.1,59.3,50.4,60.7,60.5
596,Male,White,High,Private,College Prep,.27,-1.05,.33,9,60.1,54.1,56.3,55.3,55.6
597,Male,White,Medium,Private,College Prep,.55,.34,1,16,62.7,61.9,72.9,63.4,55.6
598,Male,White,Medium,Private,College Prep,-.61,.34,.67,16,68,54.1,74.6,66.1,65.5
599,Female,White,Medium,Private,College Prep,.23,.94,1,10,57.4,67.1,57.9,60.7,55.6
600,Male,White,Medium,Private,College Prep,.02,.03,.33,9,62.7,54.1,64.7,58,50.6
